country_code,country_name,year,occupation,trust,neither,distrust
ARG,Argentina,2019,Politicians generally,5,16,79
AUS,Australia,2019,Politicians generally,10,26,64
BEL,Belgium,2019,Politicians generally,9,27,64
BRA,Brazil,2019,Politicians generally,8,18,74
CAN,Canada,2019,Politicians generally,10,29,61
CHN,China,2019,Politicians generally,22,40,38
FRA,France,2019,Politicians generally,8,28,64
GB,United Kingdom,2019,Politicians generally,11,26,63
GER,Germany,2019,Politicians generally,9,35,56
HUN,Hungary,2019,Politicians generally,5,18,77
IND,India,2019,Politicians generally,17,24,59
ITA,Italy,2019,Politicians generally,8,25,67
JAP,Japan,2019,Politicians generally,7,39,54
KOR,South Korea,2019,Politicians generally,8,23,69
KSA,Saudi Arabia,2019,Politicians generally,,,
MEX,Mexico,2019,Politicians generally,6,19,75
POL,Poland,2019,Politicians generally,5,22,73
RSA,South Africa,2019,Politicians generally,6,15,79
RUS,Russia,2019,Politicians generally,10,17,73
SPA,Spain,2019,Politicians generally,7,17,76
SWE,Sweden,2019,Politicians generally,11,32,57
TUR,Turkey,2019,Politicians generally,11,24,65
USA,United States,2019,Politicians generally,9,22,69
ARG,Argentina,2019,Government ministers,8,21,71
AUS,Australia,2019,Government ministers,12,33,55
BEL,Belgium,2019,Government ministers,9,29,62
BRA,Brazil,2019,Government ministers,10,23,67
CAN,Canada,2019,Government ministers,13,41,46
CHN,China,2019,Government ministers,50,35,15
FRA,France,2019,Government ministers,10,32,58
GB,United Kingdom,2019,Government ministers,11,32,57
GER,Germany,2019,Government ministers,11,39,50
HUN,Hungary,2019,Government ministers,8,22,70
IND,India,2019,Government ministers,21,27,52
ITA,Italy,2019,Government ministers,15,32,53
JAP,Japan,2019,Government ministers,10,42,48
KOR,South Korea,2019,Government ministers,12,43,45
KSA,Saudi Arabia,2019,Government ministers,,,
MEX,Mexico,2019,Government ministers,9,26,65
POL,Poland,2019,Government ministers,13,22,65
RSA,South Africa,2019,Government ministers,5,18,77
RUS,Russia,2019,Government ministers,10,23,67
SPA,Spain,2019,Government ministers,8,21,71
SWE,Sweden,2019,Government ministers,22,44,34
TUR,Turkey,2019,Government ministers,23,25,52
USA,United States,2019,Government ministers,11,48,41
ARG,Argentina,2019,Advertising executives,16,44,40
AUS,Australia,2019,Advertising executives,8,37,55
BEL,Belgium,2019,Advertising executives,7,34,59
BRA,Brazil,2019,Advertising executives,17,46,37
CAN,Canada,2019,Advertising executives,10,42,48
CHN,China,2019,Advertising executives,30,38,32
FRA,France,2019,Advertising executives,10,35,55
GB,United Kingdom,2019,Advertising executives,9,36,55
GER,Germany,2019,Advertising executives,9,41,50
HUN,Hungary,2019,Advertising executives,4,43,53
IND,India,2019,Advertising executives,22,37,41
ITA,Italy,2019,Advertising executives,12,46,42
JAP,Japan,2019,Advertising executives,8,57,35
KOR,South Korea,2019,Advertising executives,10,37,53
KSA,Saudi Arabia,2019,Advertising executives,31,39,30
MEX,Mexico,2019,Advertising executives,22,45,33
POL,Poland,2019,Advertising executives,10,44,46
RSA,South Africa,2019,Advertising executives,14,47,39
RUS,Russia,2019,Advertising executives,9,27,64
SPA,Spain,2019,Advertising executives,11,45,44
SWE,Sweden,2019,Advertising executives,6,42,52
TUR,Turkey,2019,Advertising executives,17,41,42
USA,United States,2019,Advertising executives,12,39,49
ARG,Argentina,2019,Clergy/Priests,17,23,60
AUS,Australia,2019,Clergy/Priests,17,41,42
BEL,Belgium,2019,Clergy/Priests,22,31,47
BRA,Brazil,2019,Clergy/Priests,21,45,34
CAN,Canada,2019,Clergy/Priests,29,29,42
CHN,China,2019,Clergy/Priests,48,23,29
FRA,France,2019,Clergy/Priests,19,37,44
GB,United Kingdom,2019,Clergy/Priests,15,48,37
GER,Germany,2019,Clergy/Priests,23,39,38
HUN,Hungary,2019,Clergy/Priests,13,42,45
IND,India,2019,Clergy/Priests,28,40,32
ITA,Italy,2019,Clergy/Priests,19,26,55
JAP,Japan,2019,Clergy/Priests,11,58,31
KOR,South Korea,2019,Clergy/Priests,13,50,37
KSA,Saudi Arabia,2019,Clergy/Priests,31,,
MEX,Mexico,2019,Clergy/Priests,27,23,50
POL,Poland,2019,Clergy/Priests,22,18,60
RSA,South Africa,2019,Clergy/Priests,23,50,27
RUS,Russia,2019,Clergy/Priests,27,29,44
SPA,Spain,2019,Clergy/Priests,15,17,68
SWE,Sweden,2019,Clergy/Priests,16,57,27
TUR,Turkey,2019,Clergy/Priests,12,44,44
USA,United States,2019,Clergy/Priests,23,50,27
ARG,Argentina,2019,Bankers,14,36,50
AUS,Australia,2019,Bankers,13,35,52
BEL,Belgium,2019,Bankers,13,38,49
BRA,Brazil,2019,Bankers,13,35,52
CAN,Canada,2019,Bankers,22,51,27
CHN,China,2019,Bankers,43,33,24
FRA,France,2019,Bankers,13,37,50
GB,United Kingdom,2019,Bankers,13,34,53
GER,Germany,2019,Bankers,12,45,43
HUN,Hungary,2019,Bankers,8,28,64
IND,India,2019,Bankers,38,38,24
ITA,Italy,2019,Bankers,13,42,45
JAP,Japan,2019,Bankers,16,54,30
KOR,South Korea,2019,Bankers,23,57,20
KSA,Saudi Arabia,2019,Bankers,45,35,20
MEX,Mexico,2019,Bankers,23,40,37
POL,Poland,2019,Bankers,18,37,45
RSA,South Africa,2019,Bankers,28,45,27
RUS,Russia,2019,Bankers,20,22,58
SPA,Spain,2019,Bankers,7,23,70
SWE,Sweden,2019,Bankers,23,48,29
TUR,Turkey,2019,Bankers,23,34,43
USA,United States,2019,Bankers,20,46,34
ARG,Argentina,2019,Journalists,17,37,46
AUS,Australia,2019,Journalists,23,36,41
BEL,Belgium,2019,Journalists,16,48,36
BRA,Brazil,2019,Journalists,25,37,38
CAN,Canada,2019,Journalists,23,50,27
CHN,China,2019,Journalists,33,48,19
FRA,France,2019,Journalists,14,46,40
GB,United Kingdom,2019,Journalists,24,30,46
GER,Germany,2019,Journalists,17,52,31
HUN,Hungary,2019,Journalists,18,30,52
IND,India,2019,Journalists,27,35,38
ITA,Italy,2019,Journalists,16,42,42
JAP,Japan,2019,Journalists,18,44,38
KOR,South Korea,2019,Journalists,24,36,40
KSA,Saudi Arabia,2019,Journalists,,,31
MEX,Mexico,2019,Journalists,19,51,30
POL,Poland,2019,Journalists,17,48,35
RSA,South Africa,2019,Journalists,31,34,35
RUS,Russia,2019,Journalists,37,24,39
SPA,Spain,2019,Journalists,7,54,39
SWE,Sweden,2019,Journalists,28,23,49
TUR,Turkey,2019,Journalists,15,34,51
USA,United States,2019,Journalists,32,29,39
ARG,Argentina,2019,Civil servants,25,4,71
AUS,Australia,2019,Civil servants,9,72,19
BEL,Belgium,2019,Civil servants,21,56,23
BRA,Brazil,2019,Civil servants,24,43,33
CAN,Canada,2019,Civil servants,16,61,23
CHN,China,2019,Civil servants,45,33,22
FRA,France,2019,Civil servants,35,48,17
GB,United Kingdom,2019,Civil servants,11,65,24
GER,Germany,2019,Civil servants,26,49,25
HUN,Hungary,2019,Civil servants,20,40,40
IND,India,2019,Civil servants,23,51,26
ITA,Italy,2019,Civil servants,29,29,42
JAP,Japan,2019,Civil servants,10,66,24
KOR,South Korea,2019,Civil servants,14,46,40
KSA,Saudi Arabia,2019,Civil servants,39,41,20
MEX,Mexico,2019,Civil servants,36,-4,68
POL,Poland,2019,Civil servants,23,23,54
RSA,South Africa,2019,Civil servants,13,50,37
RUS,Russia,2019,Civil servants,39,10,51
SPA,Spain,2019,Civil servants,22,52,26
SWE,Sweden,2019,Civil servants,19,62,19
TUR,Turkey,2019,Civil servants,23,52,25
USA,United States,2019,Civil servants,14,73,13
ARG,Argentina,2019,Television news readers,18,37,45
AUS,Australia,2019,Television news readers,22,51,27
BEL,Belgium,2019,Television news readers,30,48,22
BRA,Brazil,2019,Television news readers,18,40,42
CAN,Canada,2019,Television news readers,26,48,26
CHN,China,2019,Television news readers,50,32,18
FRA,France,2019,Television news readers,20,43,37
GB,United Kingdom,2019,Television news readers,30,51,19
GER,Germany,2019,Television news readers,35,46,19
HUN,Hungary,2019,Television news readers,14,41,45
IND,India,2019,Television news readers,29,33,38
ITA,Italy,2019,Television news readers,17,40,43
JAP,Japan,2019,Television news readers,17,57,26
KOR,South Korea,2019,Television news readers,17,56,27
KSA,Saudi Arabia,2019,Television news readers,35,39,26
MEX,Mexico,2019,Television news readers,17,40,43
POL,Poland,2019,Television news readers,22,39,39
RSA,South Africa,2019,Television news readers,31,47,22
RUS,Russia,2019,Television news readers,15,27,58
SPA,Spain,2019,Television news readers,19,50,31
SWE,Sweden,2019,Television news readers,31,43,26
TUR,Turkey,2019,Television news readers,13,41,46
USA,United States,2019,Television news readers,18,47,35
ARG,Argentina,2019,Business leaders,18,37,45
AUS,Australia,2019,Business leaders,17,49,34
BEL,Belgium,2019,Business leaders,23,51,26
BRA,Brazil,2019,Business leaders,20,49,31
CAN,Canada,2019,Business leaders,19,51,30
CHN,China,2019,Business leaders,46,36,18
FRA,France,2019,Business leaders,26,51,23
GB,United Kingdom,2019,Business leaders,16,50,34
GER,Germany,2019,Business leaders,13,61,26
HUN,Hungary,2019,Business leaders,12,50,38
IND,India,2019,Business leaders,34,36,30
ITA,Italy,2019,Business leaders,21,53,26
JAP,Japan,2019,Business leaders,15,62,23
KOR,South Korea,2019,Business leaders,12,46,42
KSA,Saudi Arabia,2019,Business leaders,40,38,22
MEX,Mexico,2019,Business leaders,35,42,23
POL,Poland,2019,Business leaders,21,40,39
RSA,South Africa,2019,Business leaders,30,41,29
RUS,Russia,2019,Business leaders,21,31,48
SPA,Spain,2019,Business leaders,12,38,50
SWE,Sweden,2019,Business leaders,19,53,28
TUR,Turkey,2019,Business leaders,19,40,41
USA,United States,2019,Business leaders,19,49,32
ARG,Argentina,2019,Lawyers,18,37,45
AUS,Australia,2019,Lawyers,22,40,38
BEL,Belgium,2019,Lawyers,21,45,34
BRA,Brazil,2019,Lawyers,20,40,40
CAN,Canada,2019,Lawyers,20,44,36
CHN,China,2019,Lawyers,53,28,19
FRA,France,2019,Lawyers,28,47,25
GB,United Kingdom,2019,Lawyers,26,45,29
GER,Germany,2019,Lawyers,25,51,24
HUN,Hungary,2019,Lawyers,16,40,44
IND,India,2019,Lawyers,25,36,39
ITA,Italy,2019,Lawyers,20,46,34
JAP,Japan,2019,Lawyers,28,54,18
KOR,South Korea,2019,Lawyers,14,53,33
KSA,Saudi Arabia,2019,Lawyers,34,43,23
MEX,Mexico,2019,Lawyers,17,45,38
POL,Poland,2019,Lawyers,31,36,33
RSA,South Africa,2019,Lawyers,21,42,37
RUS,Russia,2019,Lawyers,36,38,26
SPA,Spain,2019,Lawyers,23,47,30
SWE,Sweden,2019,Lawyers,33,46,21
TUR,Turkey,2019,Lawyers,23,42,35
USA,United States,2019,Lawyers,15,43,42
ARG,Argentina,2019,Judges,12,27,61
AUS,Australia,2019,Judges,44,39,17
BEL,Belgium,2019,Judges,38,39,23
BRA,Brazil,2019,Judges,26,38,36
CAN,Canada,2019,Judges,40,42,18
CHN,China,2019,Judges,65,20,15
FRA,France,2019,Judges,36,43,21
GB,United Kingdom,2019,Judges,43,41,16
GER,Germany,2019,Judges,41,45,14
HUN,Hungary,2019,Judges,24,38,38
IND,India,2019,Judges,42,37,21
ITA,Italy,2019,Judges,29,42,29
JAP,Japan,2019,Judges,31,52,17
KOR,South Korea,2019,Judges,15,43,42
KSA,Saudi Arabia,2019,Judges,,,
MEX,Mexico,2019,Judges,18,35,47
POL,Poland,2019,Judges,28,36,36
RSA,South Africa,2019,Judges,33,42,25
RUS,Russia,2019,Judges,24,29,47
SPA,Spain,2019,Judges,23,41,36
SWE,Sweden,2019,Judges,43,40,17
TUR,Turkey,2019,Judges,32,37,31
USA,United States,2019,Judges,39,46,15
ARG,Argentina,2019,The police,26,33,41
AUS,Australia,2019,The police,56,29,15
BEL,Belgium,2019,The police,44,39,17
BRA,Brazil,2019,The police,31,37,32
CAN,Canada,2019,The police,52,28,20
CHN,China,2019,The police,80,11,9
FRA,France,2019,The police,53,35,12
GB,United Kingdom,2019,The police,47,35,18
GER,Germany,2019,The police,49,37,14
HUN,Hungary,2019,The police,31,35,34
IND,India,2019,The police,33,32,35
ITA,Italy,2019,The police,50,35,15
JAP,Japan,2019,The police,33,46,21
KOR,South Korea,2019,The police,21,51,28
KSA,Saudi Arabia,2019,The police,,,
MEX,Mexico,2019,The police,11,26,63
POL,Poland,2019,The police,36,34,30
RSA,South Africa,2019,The police,12,28,60
RUS,Russia,2019,The police,20,39,41
SPA,Spain,2019,The police,45,35,20
SWE,Sweden,2019,The police,49,35,16
TUR,Turkey,2019,The police,39,31,30
USA,United States,2019,The police,48,31,21
ARG,Argentina,2019,Pollsters,8,68,24
AUS,Australia,2019,Pollsters,24,41,35
BEL,Belgium,2019,Pollsters,24,50,26
BRA,Brazil,2019,Pollsters,23,44,33
CAN,Canada,2019,Pollsters,24,51,25
CHN,China,2019,Pollsters,28,52,20
FRA,France,2019,Pollsters,35,48,17
GB,United Kingdom,2019,Pollsters,26,40,34
GER,Germany,2019,Pollsters,20,62,18
HUN,Hungary,2019,Pollsters,15,54,31
IND,India,2019,Pollsters,38,31,31
ITA,Italy,2019,Pollsters,15,62,23
JAP,Japan,2019,Pollsters,18,53,29
KOR,South Korea,2019,Pollsters,13,55,32
KSA,Saudi Arabia,2019,Pollsters,40,41,19
MEX,Mexico,2019,Pollsters,9,72,19
POL,Poland,2019,Pollsters,13,56,31
RSA,South Africa,2019,Pollsters,21,48,31
RUS,Russia,2019,Pollsters,27,54,19
SPA,Spain,2019,Pollsters,22,53,25
SWE,Sweden,2019,Pollsters,27,48,25
TUR,Turkey,2019,Pollsters,31,36,33
USA,United States,2019,Pollsters,34,31,35
ARG,Argentina,2019,Armed forces members,32,33,35
AUS,Australia,2019,Armed forces members,58,32,10
BEL,Belgium,2019,Armed forces members,36,49,15
BRA,Brazil,2019,Armed forces members,39,38,23
CAN,Canada,2019,Armed forces members,56,31,13
CHN,China,2019,Armed forces members,72,17,11
FRA,France,2019,Armed forces members,55,35,10
GB,United Kingdom,2019,Armed forces members,52,36,12
GER,Germany,2019,Armed forces members,24,49,27
HUN,Hungary,2019,Armed forces members,39,45,16
IND,India,2019,Armed forces members,70,19,11
ITA,Italy,2019,Armed forces members,47,37,16
JAP,Japan,2019,Armed forces members,35,51,14
KOR,South Korea,2019,Armed forces members,18,51,31
KSA,Saudi Arabia,2019,Armed forces members,,,
MEX,Mexico,2019,Armed forces members,40,30,30
POL,Poland,2019,Armed forces members,35,38,27
RSA,South Africa,2019,Armed forces members,29,38,33
RUS,Russia,2019,Armed forces members,55,36,9
SPA,Spain,2019,Armed forces members,39,35,26
SWE,Sweden,2019,Armed forces members,39,46,15
TUR,Turkey,2019,Armed forces members,35,41,24
USA,United States,2019,Armed forces members,60,29,11
ARG,Argentina,2019,Doctors,68,23,9
AUS,Australia,2019,Doctors,69,23,8
BEL,Belgium,2019,Doctors,64,28,8
BRA,Brazil,2019,Doctors,48,36,16
CAN,Canada,2019,Doctors,63,25,12
CHN,China,2019,Doctors,56,29,15
FRA,France,2019,Doctors,62,28,10
GB,United Kingdom,2019,Doctors,67,25,8
GER,Germany,2019,Doctors,51,39,10
HUN,Hungary,2019,Doctors,38,40,22
IND,India,2019,Doctors,49,33,18
ITA,Italy,2019,Doctors,60,30,10
JAP,Japan,2019,Doctors,39,48,13
